record_id,unit_expression,status,proposed_unit_uri,quantity_kind_uris,dimension_vector_uri,local_evidence,published_evidence,reference_unit_uri,conversion_value,conversion_equation,conversion_exact,conversion_source,qk_rationale,qk_relation,dv_rationale,description_sources,description_rationale,semantic_hypotheses,confidence,issues,recommendation
unit-0011,GM-PER-NUM,needs-clarification,,,http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0,QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; constituent Units and qkdv:A0E0L0I0M1H0T0D0 verified.,Live QUDT SPARQL 2026-09-07: exact Unit URI absent. No published semantic evidence resolves the missing measurement context.,http://qudt.org/vocab/unit/KiloGM,multiplier=0.001 to kilogram; offset=0,GM^1=0.001^1 × NUM^-1=1.0^-1; product = 0.001 kilogram,true,https://www.bipm.org/en/publications/si-brochure/|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,No QuantityKind is asserted because the submitted expression and current QUDT do not distinguish the competing measurement meanings.,,Vector composition GM^1 (A0E0L0I0M1H0T0D0) + NUM^-1 (A0E0L0I0M0H0T0D1) = A0E0L0I0M1H0T0D0; the vector exists locally and in published QUDT.,Current QUDT factor and same-vector QuantityKind inventory|https://github.com/qudt/qudt-public-repo/wiki/Unit-Vocabulary-Submission-Guidelines,No Unit description or RDF is drafted until the semantic or conversion ambiguity is resolved.,"Count, number of particles, population, count density, and event-rate interpretations were considered; none can be selected from the expression alone.",low,"NUM does not identify what is counted or whether the denominator is a sample, organism, event, or replicate; Count, NumberOfParticles, Population, density, and rate interpretations remain possible.","Confirm the source variable, measured numerator, denominator basis, and intended QuantityKind before drafting RDF."
unit-0012,GigaGM,ready-for-review,http://qudt.org/vocab/unit/GigaGM,http://qudt.org/vocab/quantitykind/Mass,http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:Mass, and qkdv:A0E0L0I0M1H0T0D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/KiloGM,multiplier=1000000.0; offset=0,10^9 g × 0.001 kg/g = 1000000 kg,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,The SI-prefixed gram expression is a mass and matches the current Mass kind.,unitForQuantityKind,"Giga prefix (10^9) changes scale but not the gram vector; result A0E0L0I0M1H0T0D0, verified locally and published.",https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:Mass,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind Mass; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:Mass and qkdv:A0E0L0I0M1H0T0D0.
unit-0013,MI_US-PER-SEC,ready-for-review,http://qudt.org/vocab/unit/MI_US-PER-SEC,http://qudt.org/vocab/quantitykind/Speed,http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:Speed, and qkdv:A0E0L1I0M0H0T-1D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/M-PER-SEC,multiplier=1609.347219; offset=0,MI_US^1=1609.347219^1 × SEC^-1=1.0^-1; product = 1609.347219 metre per second,false,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,Length divided by time matches the current generic Speed kind.,unitForQuantityKind,Vector composition MI_US^1 (A0E0L1I0M0H0T0D0) + SEC^-1 (A0E0L0I0M0H0T1D0) = A0E0L1I0M0H0T-1D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:Speed,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind Speed; more specialized same-vector meanings were excluded because no source-variable context was supplied.,medium,Current QUDT rounds unit:MI_US to 1609.347219 m; the exact NIST survey-mile ratio is 6336000/3937 m.,Review as a new expression-preserving Unit reusing quantitykind:Speed and qkdv:A0E0L1I0M0H0T-1D0.
unit-0014,M3-PER-M2-DAY,ready-for-review,http://qudt.org/vocab/unit/M3-PER-M2-DAY,http://qudt.org/vocab/quantitykind/VolumetricFlux,http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:VolumetricFlux, and qkdv:A0E0L1I0M0H0T-1D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/M-PER-SEC,multiplier=0.000011574074074074074074074074074074074074074074074074; offset=0,M^3=1.0^3 × M^-2=1.0^-2 × DAY^-1=86400.0^-1; product = 0.000011574074074074074074074074074074074074074074074074 metre per second,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,Volume divided by area and time matches the current VolumetricFlux composition and vector.,unitForQuantityKind,Vector composition M^3 (A0E0L1I0M0H0T0D0) + M^-2 (A0E0L1I0M0H0T0D0) + DAY^-1 (A0E0L0I0M0H0T1D0) = A0E0L1I0M0H0T-1D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:VolumetricFlux,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind VolumetricFlux; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:VolumetricFlux and qkdv:A0E0L1I0M0H0T-1D0.
unit-0015,CORD-PER-AC,ready-for-review,http://qudt.org/vocab/unit/CORD-PER-AC,http://qudt.org/vocab/quantitykind/VolumePerArea,http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:VolumePerArea, and qkdv:A0E0L1I0M0H0T0D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/M,multiplier=0.00089564738292011019283746556473829201101928374655647; offset=0,CORD^1=3.624556363776^1 × AC^-1=4046.8564224^-1; product = 0.00089564738292011019283746556473829201101928374655647 metre,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,"The expression explicitly divides volume by area, matching the current VolumePerArea kind.",unitForQuantityKind,Vector composition CORD^1 (A0E0L3I0M0H0T0D0) + AC^-1 (A0E0L2I0M0H0T0D0) = A0E0L1I0M0H0T0D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:VolumePerArea,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind VolumePerArea; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:VolumePerArea and qkdv:A0E0L1I0M0H0T0D0.
unit-0016,FT3-PER-AC,ready-for-review,http://qudt.org/vocab/unit/FT3-PER-AC,http://qudt.org/vocab/quantitykind/VolumePerArea,http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:VolumePerArea, and qkdv:A0E0L1I0M0H0T0D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/M,multiplier=0.0000069972451790633608815426997245179063360881542699724; offset=0,FT^3=0.3048^3 × AC^-1=4046.8564224^-1; product = 0.0000069972451790633608815426997245179063360881542699724 metre,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,"The expression explicitly divides volume by area, matching the current VolumePerArea kind.",unitForQuantityKind,Vector composition FT^3 (A0E0L1I0M0H0T0D0) + AC^-1 (A0E0L2I0M0H0T0D0) = A0E0L1I0M0H0T0D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:VolumePerArea,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind VolumePerArea; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:VolumePerArea and qkdv:A0E0L1I0M0H0T0D0.
unit-0017,MegaL-PER-KiloM2,ready-for-review,http://qudt.org/vocab/unit/MegaL-PER-KiloM2,http://qudt.org/vocab/quantitykind/VolumePerArea,http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:VolumePerArea, and qkdv:A0E0L1I0M0H0T0D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/M,multiplier=0.001; offset=0,MegaL^1=1000.0^1 × KiloM^-2=1000.0^-2; product = 0.001 metre,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,"The expression explicitly divides volume by area, matching the current VolumePerArea kind.",unitForQuantityKind,Vector composition MegaL^1 (A0E0L3I0M0H0T0D0) + KiloM^-2 (A0E0L1I0M0H0T0D0) = A0E0L1I0M0H0T0D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:VolumePerArea,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind VolumePerArea; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:VolumePerArea and qkdv:A0E0L1I0M0H0T0D0.
unit-0018,MicroM3-PER-MilliM2,ready-for-review,http://qudt.org/vocab/unit/MicroM3-PER-MilliM2,http://qudt.org/vocab/quantitykind/VolumePerArea,http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:VolumePerArea, and qkdv:A0E0L1I0M0H0T0D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/M,multiplier=0.000000000001; offset=0,MicroM^3=0.000001^3 × MilliM^-2=0.001^-2; product = 0.000000000001 metre,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,"The expression explicitly divides volume by area, matching the current VolumePerArea kind.",unitForQuantityKind,Vector composition MicroM^3 (A0E0L1I0M0H0T0D0) + MilliM^-2 (A0E0L1I0M0H0T0D0) = A0E0L1I0M0H0T0D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:VolumePerArea,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind VolumePerArea; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:VolumePerArea and qkdv:A0E0L1I0M0H0T0D0.
unit-0019,MilliM-PER-NUM,needs-clarification,,,http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0,QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; constituent Units and qkdv:A0E0L1I0M0H0T0D0 verified.,Live QUDT SPARQL 2026-09-07: exact Unit URI absent. No published semantic evidence resolves the missing measurement context.,http://qudt.org/vocab/unit/M,multiplier=0.001 to metre; offset=0,MilliM^1=0.001^1 × NUM^-1=1.0^-1; product = 0.001 metre,true,https://www.bipm.org/en/publications/si-brochure/|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,No QuantityKind is asserted because the submitted expression and current QUDT do not distinguish the competing measurement meanings.,,Vector composition MilliM^1 (A0E0L1I0M0H0T0D0) + NUM^-1 (A0E0L0I0M0H0T0D1) = A0E0L1I0M0H0T0D0; the vector exists locally and in published QUDT.,Current QUDT factor and same-vector QuantityKind inventory|https://github.com/qudt/qudt-public-repo/wiki/Unit-Vocabulary-Submission-Guidelines,No Unit description or RDF is drafted until the semantic or conversion ambiguity is resolved.,"Count, number of particles, population, count density, and event-rate interpretations were considered; none can be selected from the expression alone.",low,"NUM does not identify what is counted or whether the denominator is a sample, organism, event, or replicate; Count, NumberOfParticles, Population, density, and rate interpretations remain possible.","Confirm the source variable, measured numerator, denominator basis, and intended QuantityKind before drafting RDF."
unit-0020,MilliGM-PER-L-HR,ready-for-review,http://qudt.org/vocab/unit/MilliGM-PER-L-HR,http://qudt.org/vocab/quantitykind/MassConcentrationRateOfChange,http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T-1D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:MassConcentrationRateOfChange, and qkdv:A0E0L-3I0M1H0T-1D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/KiloGM-PER-M3-SEC,multiplier=0.00000027777777777777777777777777777777777777777777777778; offset=0,MilliGM^1=0.000001^1 × L^-1=0.001^-1 × HR^-1=3600.0^-1; product = 0.00000027777777777777777777777777777777777777777777777778 kilogram per cubic metre second,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,Mass divided by volume and time matches the current MassConcentrationRateOfChange kind.,unitForQuantityKind,Vector composition MilliGM^1 (A0E0L0I0M1H0T0D0) + L^-1 (A0E0L3I0M0H0T0D0) + HR^-1 (A0E0L0I0M0H0T1D0) = A0E0L-3I0M1H0T-1D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:MassConcentrationRateOfChange,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind MassConcentrationRateOfChange; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:MassConcentrationRateOfChange and qkdv:A0E0L-3I0M1H0T-1D0.
unit-0021,TON_US-PER-AC,ready-for-review,http://qudt.org/vocab/unit/TON_US-PER-AC,http://qudt.org/vocab/quantitykind/MassPerArea,http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:MassPerArea, and qkdv:A0E0L-2I0M1H0T0D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/KiloGM-PER-M2,multiplier=0.22417023123889120954448418436679746535699580939005; offset=0,TON_US^1=907.18474^1 × AC^-1=4046.8564224^-1; product = 0.22417023123889120954448418436679746535699580939005 kilogram per square metre,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,Mass divided by area matches the current generic MassPerArea kind.,unitForQuantityKind,Vector composition TON_US^1 (A0E0L0I0M1H0T0D0) + AC^-1 (A0E0L2I0M0H0T0D0) = A0E0L-2I0M1H0T0D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:MassPerArea,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind MassPerArea; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:MassPerArea and qkdv:A0E0L-2I0M1H0T0D0.
unit-0022,BQ-PER-GM,ready-for-review,http://qudt.org/vocab/unit/BQ-PER-GM,http://qudt.org/vocab/quantitykind/MassicActivity,http://qudt.org/vocab/dimensionvector/A0E0L0I0M-1H0T-1D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:MassicActivity, and qkdv:A0E0L0I0M-1H0T-1D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/BQ-PER-KiloGM,multiplier=1000.0; offset=0,BQ^1=1.0^1 × GM^-1=0.001^-1; product = 1000.0 becquerel per kilogram,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,Activity divided by mass matches the current MassicActivity kind.,unitForQuantityKind,Vector composition BQ^1 (A0E0L0I0M0H0T-1D0) + GM^-1 (A0E0L0I0M1H0T0D0) = A0E0L0I0M-1H0T-1D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:MassicActivity,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind MassicActivity; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:MassicActivity and qkdv:A0E0L0I0M-1H0T-1D0.
unit-0023,GM-PER-HA-DAY,ready-for-review,http://qudt.org/vocab/unit/GM-PER-HA-DAY,http://qudt.org/vocab/quantitykind/MassPerAreaTime,http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-1D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:MassPerAreaTime, and qkdv:A0E0L-2I0M1H0T-1D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/KiloGM-PER-M2-SEC,multiplier=0.0000000000011574074074074074074074074074074074074074074074074; offset=0,GM^1=0.001^1 × HA^-1=10000.0^-1 × DAY^-1=86400.0^-1; product = 0.0000000000011574074074074074074074074074074074074074074074074 kilogram per square metre second,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,Mass divided by area and time matches the current MassPerAreaTime kind.,unitForQuantityKind,Vector composition GM^1 (A0E0L0I0M1H0T0D0) + HA^-1 (A0E0L2I0M0H0T0D0) + DAY^-1 (A0E0L0I0M0H0T1D0) = A0E0L-2I0M1H0T-1D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:MassPerAreaTime,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind MassPerAreaTime; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:MassPerAreaTime and qkdv:A0E0L-2I0M1H0T-1D0.
unit-0024,MicroGM-PER-M2,ready-for-review,http://qudt.org/vocab/unit/MicroGM-PER-M2,http://qudt.org/vocab/quantitykind/MassPerArea,http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0,"QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; every factor Unit, quantitykind:MassPerArea, and qkdv:A0E0L-2I0M1H0T0D0 exists.",Live QUDT SPARQL 2026-09-07: exact Unit URI absent; reused QuantityKind and DimensionVector URIs verified. Expression identity is preserved rather than replaced by an algebraic equivalent.,http://qudt.org/vocab/unit/KiloGM-PER-M2,multiplier=0.000000001; offset=0,MicroGM^1=0.000000001^1 × M^-2=1.0^-2; product = 0.000000001 kilogram per square metre,true,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,Mass divided by area matches the current generic MassPerArea kind.,unitForQuantityKind,Vector composition MicroGM^1 (A0E0L0I0M1H0T0D0) + M^-2 (A0E0L1I0M0H0T0D0) = A0E0L-2I0M1H0T0D0; the vector exists locally and in published QUDT.,https://www.bipm.org/en/publications/si-brochure/|https://www.nist.gov/pml/special-publication-811/nist-guide-si-appendix-b8|current QUDT factor Units and quantitykind:MassPerArea,"The synthesized description states only the factor expression, generic measurable kind, and conversion; it asserts no dataset-specific or ecological use.",Selected the generic or expression-specific current QUDT kind MassPerArea; more specialized same-vector meanings were excluded because no source-variable context was supplied.,high,Exact qname is absent locally and published; human review should confirm label and symbol before submission.,Review as a new expression-preserving Unit reusing quantitykind:MassPerArea and qkdv:A0E0L-2I0M1H0T0D0.
unit-0025,NanoGM-PER-GM-HR,needs-clarification,,,http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0,QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; constituent Units and qkdv:A0E0L0I0M0H0T-1D0 verified.,Live QUDT SPARQL 2026-09-07: exact Unit URI absent. No published semantic evidence resolves the missing measurement context.,http://qudt.org/vocab/unit/PER-SEC,multiplier=0.00000000000027777777777777777777777777777777777777777777777778 to reciprocal second; offset=0,NanoGM^1=0.000000000001^1 × GM^-1=0.001^-1 × HR^-1=3600.0^-1; product = 0.00000000000027777777777777777777777777777777777777777777777778 reciprocal second,true,https://www.bipm.org/en/publications/si-brochure/|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,No QuantityKind is asserted because the submitted expression and current QUDT do not distinguish the competing measurement meanings.,,Vector composition NanoGM^1 (A0E0L0I0M1H0T0D0) + GM^-1 (A0E0L0I0M1H0T0D0) + HR^-1 (A0E0L0I0M0H0T1D0) = A0E0L0I0M0H0T-1D0; the vector exists locally and in published QUDT.,Current QUDT factor and same-vector QuantityKind inventory|https://github.com/qudt/qudt-public-repo/wiki/Unit-Vocabulary-Submission-Guidelines,No Unit description or RDF is drafted until the semantic or conversion ambiguity is resolved.,"MassSpecificBiogeochemicalRate, generic RateOfChange, and process-specific normalized rates were considered; all require a measurand and denominator context.",low,"A mass/mass/time expression can represent a mass-specific process rate, fractional change rate, or another normalized rate. The numerator measurand and denominator basis were not supplied.","Confirm the source variable, measured numerator, denominator basis, and intended QuantityKind before drafting RDF."
unit-0026,MicroGM-PER-KiloGM-HR,needs-clarification,,,http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0,QUDT 6b8df6f4 aggregate graph query 2026-09-07: exact Unit URI absent; constituent Units and qkdv:A0E0L0I0M0H0T-1D0 verified.,Live QUDT SPARQL 2026-09-07: exact Unit URI absent. No published semantic evidence resolves the missing measurement context.,http://qudt.org/vocab/unit/PER-SEC,multiplier=0.00000000000027777777777777777777777777777777777777777777777778 to reciprocal second; offset=0,MicroGM^1=0.000000001^1 × KiloGM^-1=1.0^-1 × HR^-1=3600.0^-1; product = 0.00000000000027777777777777777777777777777777777777777777777778 reciprocal second,true,https://www.bipm.org/en/publications/si-brochure/|current QUDT constituent multipliers at 6b8df6f429c45bc6fb0b25659d34f51954a148f9,No QuantityKind is asserted because the submitted expression and current QUDT do not distinguish the competing measurement meanings.,,Vector composition MicroGM^1 (A0E0L0I0M1H0T0D0) + KiloGM^-1 (A0E0L0I0M1H0T0D0) + HR^-1 (A0E0L0I0M0H0T1D0) = A0E0L0I0M0H0T-1D0; the vector exists locally and in published QUDT.,Current QUDT factor and same-vector QuantityKind inventory|https://github.com/qudt/qudt-public-repo/wiki/Unit-Vocabulary-Submission-Guidelines,No Unit description or RDF is drafted until the semantic or conversion ambiguity is resolved.,"MassSpecificBiogeochemicalRate, generic RateOfChange, and process-specific normalized rates were considered; all require a measurand and denominator context.",low,"A mass/mass/time expression can represent a mass-specific process rate, fractional change rate, or another normalized rate. The numerator measurand and denominator basis were not supplied.","Confirm the source variable, measured numerator, denominator basis, and intended QuantityKind before drafting RDF."
